number_id,gu_id,MY_id,the_number_of_car_accident
1,1,1,66
2,2,1,77
3,3,1,127
4,4,1,116
5,5,1,188
6,6,1,104
7,7,1,105
8,8,1,322
9,9,1,78
10,10,1,251
11,11,1,181
12,12,1,77
13,13,1,109
14,14,1,117
15,15,1,121
16,16,1,51
17,17,1,94
18,18,1,86
19,19,1,77
20,20,1,103
21,21,1,108
22,22,1,133
23,23,1,51
24,24,1,48
25,25,1,79
26,1,2,65
27,2,2,85
28,3,2,140
29,4,2,101
30,5,2,183
31,6,2,107
32,7,2,104
33,8,2,339
34,9,2,109
35,10,2,221
36,11,2,163
37,12,2,77
38,13,2,94
39,14,2,114
40,15,2,115
41,16,2,61
42,17,2,78
43,18,2,73
44,19,2,87
45,20,2,96
46,21,2,154
47,22,2,98
48,23,2,54
49,24,2,77
50,25,2,79
51,1,3,59
52,2,3,74
53,3,3,116
54,4,3,85
55,5,3,117
56,6,3,78
57,7,3,89
58,8,3,221
59,9,3,73
60,10,3,159
61,11,3,134
62,12,3,59
63,13,3,88
64,14,3,89
65,15,3,71
66,16,3,58
67,17,3,82
68,18,3,63
69,19,3,70
70,20,3,71
71,21,3,85
72,22,3,76
73,23,3,41
74,24,3,54
75,25,3,64
76,1,4,70
77,2,4,54
78,3,4,112
79,4,4,74
80,5,4,126
81,6,4,67
82,7,4,79
83,8,4,244
84,9,4,90
85,10,4,164
86,11,4,155
87,12,4,54
88,13,4,81
89,14,4,95
90,15,4,96
91,16,4,59
92,17,4,57
93,18,4,53
94,19,4,59
95,20,4,57
96,21,4,94
97,22,4,84
98,23,4,39
99,24,4,62
100,25,4,62
101,1,5,90
102,2,5,99
103,3,5,135
104,4,5,92
105,5,5,164
106,6,5,93
107,7,5,109
108,8,5,327
109,9,5,93
110,10,5,220
111,11,5,214
112,12,5,81
113,13,5,86
114,14,5,133
115,15,5,134
116,16,5,56
117,17,5,73
118,18,5,60
119,19,5,67
120,20,5,89
121,21,5,116
122,22,5,99
123,23,5,44
124,24,5,75
125,25,5,98
126,1,6,88
127,2,6,95
128,3,6,154
129,4,6,130
130,5,6,183
131,6,6,96
132,7,6,122
133,8,6,319
134,9,6,87
135,10,6,209
136,11,6,222
137,12,6,72
138,13,6,82
139,14,6,135
140,15,6,121
141,16,6,69
142,17,6,97
143,18,6,78
144,19,6,87
145,20,6,96
146,21,6,151
147,22,6,109
148,23,6,52
149,24,6,88
150,25,6,88
151,1,7,78
152,2,7,77
153,3,7,155
154,4,7,94
155,5,7,180
156,6,7,96
157,7,7,91
158,8,7,322
159,9,7,90
160,10,7,226
161,11,7,169
162,12,7,73
163,13,7,84
164,14,7,119
165,15,7,129
166,16,7,46
167,17,7,83
168,18,7,67
169,19,7,82
170,20,7,54
171,21,7,110
172,22,7,109
173,23,7,41
174,24,7,87
175,25,7,86
176,1,8,109
177,2,8,87
178,3,8,143
179,4,8,109
180,5,8,172
181,6,8,104
182,7,8,107
183,8,8,360
184,9,8,101
185,10,8,224
186,11,8,185
187,12,8,87
188,13,8,103
189,14,8,128
190,15,8,110
191,16,8,59
192,17,8,102
193,18,8,82
194,19,8,96
195,20,8,90
196,21,8,139
197,22,8,122
198,23,8,41
199,24,8,76
200,25,8,85
201,1,9,77
202,2,9,97
203,3,9,126
204,4,9,108
205,5,9,142
206,6,9,95
207,7,9,71
208,8,9,307
209,9,9,103
210,10,9,198
211,11,9,193
212,12,9,66
213,13,9,97
214,14,9,121
215,15,9,127
216,16,9,46
217,17,9,94
218,18,9,77
219,19,9,91
220,20,9,78
221,21,9,112
222,22,9,116
223,23,9,45
224,24,9,64
225,25,9,83
226,1,10,99
227,2,10,111
228,3,10,131
229,4,10,106
230,5,10,190
231,6,10,106
232,7,10,99
233,8,10,304
234,9,10,94
235,10,10,242
236,11,10,193
237,12,10,88
238,13,10,119
239,14,10,123
240,15,10,119
241,16,10,59
242,17,10,90
243,18,10,72
244,19,10,80
245,20,10,73
246,21,10,128
247,22,10,107
248,23,10,44
249,24,10,97
250,25,10,91
251,1,11,81
252,2,11,101
253,3,11,133
254,4,11,133
255,5,11,195
256,6,11,114
257,7,11,93
258,8,11,343
259,9,11,112
260,10,11,244
261,11,11,219
262,12,11,81
263,13,11,120
264,14,11,108
265,15,11,139
266,16,11,79
267,17,11,103
268,18,11,55
269,19,11,116
270,20,11,84
271,21,11,147
272,22,11,123
273,23,11,37
274,24,11,92
275,25,11,85
276,1,12,77
277,2,12,93
278,3,12,125
279,4,12,113
280,5,12,178
281,6,12,117
282,7,12,104
283,8,12,331
284,9,12,96
285,10,12,224
286,11,12,187
287,12,12,92
288,13,12,109
289,14,12,121
290,15,12,108
291,16,12,51
292,17,12,97
293,18,12,83
294,19,12,84
295,20,12,75
296,21,12,127
297,22,12,115
298,23,12,43
299,24,12,77
300,25,12,79
301,1,13,81
302,2,13,92
303,3,13,136
304,4,13,129
305,5,13,168
306,6,13,144
307,7,13,104
308,8,13,292
309,9,13,103
310,10,13,250
311,11,13,230
312,12,13,113
313,13,13,102
314,14,13,115
315,15,13,115
316,16,13,65
317,17,13,88
318,18,13,81
319,19,13,95
320,20,13,85
321,21,13,171
322,22,13,130
323,23,13,41
324,24,13,69
325,25,13,74
326,1,14,77
327,2,14,80
328,3,14,112
329,4,14,93
330,5,14,134
331,6,14,107
332,7,14,71
333,8,14,293
334,9,14,94
335,10,14,201
336,11,14,135
337,12,14,81
338,13,14,77
339,14,14,88
340,15,14,95
341,16,14,49
342,17,14,82
343,18,14,74
344,19,14,81
345,20,14,78
346,21,14,121
347,22,14,103
348,23,14,36
349,24,14,90
350,25,14,74
351,1,15,66
352,2,15,77
353,3,15,106
354,4,15,75
355,5,15,150
356,6,15,96
357,7,15,75
358,8,15,283
359,9,15,83
360,10,15,162
361,11,15,161
362,12,15,58
363,13,15,91
364,14,15,99
365,15,15,75
366,16,15,44
367,17,15,53
368,18,15,65
369,19,15,73
370,20,15,61
371,21,15,112
372,22,15,84
373,23,15,32
374,24,15,45
375,25,15,53
376,1,16,67
377,2,16,93
378,3,16,112
379,4,16,101
380,5,16,146
381,6,16,96
382,7,16,86
383,8,16,330
384,9,16,73
385,10,16,201
386,11,16,195
387,12,16,88
388,13,16,100
389,14,16,98
390,15,16,104
391,16,16,63
392,17,16,75
393,18,16,65
394,19,16,63
395,20,16,64
396,21,16,133
397,22,16,83
398,23,16,43
399,24,16,83
400,25,16,70
401,1,17,73
402,2,17,111
403,3,17,139
404,4,17,99
405,5,17,143
406,6,17,95
407,7,17,83
408,8,17,347
409,9,17,91
410,10,17,214
411,11,17,157
412,12,17,82
413,13,17,102
414,14,17,90
415,15,17,105
416,16,17,43
417,17,17,83
418,18,17,81
419,19,17,73
420,20,17,88
421,21,17,132
422,22,17,98
423,23,17,48
424,24,17,96
425,25,17,76
426,1,18,88
427,2,18,117
428,3,18,134
429,4,18,122
430,5,18,155
431,6,18,102
432,7,18,93
433,8,18,315
434,9,18,111
435,10,18,221
436,11,18,185
437,12,18,67
438,13,18,99
439,14,18,121
440,15,18,122
441,16,18,65
442,17,18,87
443,18,18,65
444,19,18,77
445,20,18,72
446,21,18,153
447,22,18,108
448,23,18,40
449,24,18,93
450,25,18,92
451,1,19,82
452,2,19,104
453,3,19,133
454,4,19,119
455,5,19,139
456,6,19,108
457,7,19,100
458,8,19,313
459,9,19,105
460,10,19,210
461,11,19,177
462,12,19,78
463,13,19,109
464,14,19,111
465,15,19,120
466,16,19,63
467,17,19,82
468,18,19,71
469,19,19,80
470,20,19,69
471,21,19,147
472,22,19,102
473,23,19,49
474,24,19,75
475,25,19,74
476,1,20,95
477,2,20,103
478,3,20,121
479,4,20,136
480,5,20,149
481,6,20,101
482,7,20,73
483,8,20,344
484,9,20,114
485,10,20,215
486,11,20,183
487,12,20,79
488,13,20,113
489,14,20,89
490,15,20,104
491,16,20,69
492,17,20,68
493,18,20,61
494,19,20,86
495,20,20,70
496,21,20,133
497,22,20,99
498,23,20,51
499,24,20,79
500,25,20,67
501,1,21,83
502,2,21,120
503,3,21,128
504,4,21,111
505,5,21,172
506,6,21,105
507,7,21,100
508,8,21,324
509,9,21,100
510,10,21,250
511,11,21,191
512,12,21,61
513,13,21,101
514,14,21,109
515,15,21,110
516,16,21,66
517,17,21,91
518,18,21,75
519,19,21,95
520,20,21,84
521,21,21,153
522,22,21,81
523,23,21,54
524,24,21,92
525,25,21,93
526,1,22,81
527,2,22,115
528,3,22,153
529,4,22,114
530,5,22,178
531,6,22,121
532,7,22,84
533,8,22,315
534,9,22,109
535,10,22,221
536,11,22,208
537,12,22,76
538,13,22,120
539,14,22,123
540,15,22,125
541,16,22,54
542,17,22,95
543,18,22,82
544,19,22,101
545,20,22,84
546,21,22,130
547,22,22,124
548,23,22,45
549,24,22,98
550,25,22,69
551,1,23,96
552,2,23,122
553,3,23,135
554,4,23,123
555,5,23,173
556,6,23,105
557,7,23,73
558,8,23,341
559,9,23,92
560,10,23,235
561,11,23,197
562,12,23,84
563,13,23,94
564,14,23,122
565,15,23,148
566,16,23,61
567,17,23,89
568,18,23,81
569,19,23,99
570,20,23,81
571,21,23,157
572,22,23,116
573,23,23,47
574,24,23,94
575,25,23,70
576,1,24,80
577,2,24,104
578,3,24,126
579,4,24,131
580,5,24,182
581,6,24,100
582,7,24,76
583,8,24,358
584,9,24,113
585,10,24,235
586,11,24,194
587,12,24,98
588,13,24,110
589,14,24,105
590,15,24,117
591,16,24,67
592,17,24,81
593,18,24,76
594,19,24,86
595,20,24,82
596,21,24,160
597,22,24,127
598,23,24,37
599,24,24,100
600,25,24,87
601,1,25,100
602,2,25,104
603,3,25,119
604,4,25,135
605,5,25,179
606,6,25,106
607,7,25,66
608,8,25,363
609,9,25,100
610,10,25,249
611,11,25,185
612,12,25,79
613,13,25,105
614,14,25,113
615,15,25,141
616,16,25,73
617,17,25,86
618,18,25,80
619,19,25,82
620,20,25,86
621,21,25,143
622,22,25,131
623,23,25,48
624,24,25,94
625,25,25,91
